start_date,end_date,dayflag,ranking,fromaddress,all_population,area_id,area_name,population,residence,residence_population_rate
20250927,20250928,休日,1,山形県米沢市,4676,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,4676,81258,0.058
20250927,20250928,休日,2,山形県山形市,405,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,405,247597,0.002
20250927,20250928,休日,3,山形県南陽市,212,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,212,30399,0.007
20250927,20250928,休日,4,福島県福島市,184,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,184,282671,0.001
20250927,20250928,休日,5,山形県東置賜郡高畠町,140,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,140,22417,0.006
20250927,20250928,休日,6,山形県長井市,127,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,127,26537,0.005
20250927,20250928,休日,7,山形県東置賜郡川西町,122,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,122,14595,0.008
20250927,20250928,休日,8,福島県郡山市,83,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,83,327742,0.0
20250927,20250928,休日,9,福島県須賀川市,83,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,83,74966,0.001
20250927,20250928,休日,10,山形県西村山郡河北町,66,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,66,17615,0.004
20250927,20250928,休日,11,山形県東村山郡中山町,66,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,66,10722,0.006
20250927,20250928,休日,12,宮城県仙台市太白区,64,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,64,234778,0.0
20250927,20250928,休日,13,山形県東根市,55,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,55,47678,0.001
20250927,20250928,休日,14,新潟県長岡市,54,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,54,266925,0.0
20250927,20250928,休日,15,千葉県茂原市,52,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,52,86751,0.001
20250927,20250928,休日,16,宮城県仙台市若林区,48,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,48,141549,0.0
20250927,20250928,休日,17,宮城県仙台市青葉区,48,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,48,311368,0.0
20250927,20250928,休日,18,福島県喜多方市,48,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,48,44708,0.001
20250927,20250928,休日,19,山形県寒河江市,47,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,47,40293,0.001
20250927,20250928,休日,20,新潟県阿賀野市,46,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,46,40678,0.001
20250927,20250928,休日,21,秋田県横手市,43,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,43,85525,0.001
20250927,20250928,休日,22,山形県天童市,43,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,43,62086,0.001
20250927,20250928,休日,23,宮城県仙台市泉区,39,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,39,212244,0.0
20250927,20250928,休日,24,群馬県渋川市,38,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,38,74543,0.0
20250927,20250928,休日,25,福島県会津若松市,36,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,36,117381,0.0
20250927,20250928,休日,26,山形県上山市,35,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,35,29120,0.001
20250927,20250928,休日,27,千葉県大網白里市,32,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,32,48138,0.001
20250927,20250928,休日,28,山形県西置賜郡小国町,31,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,31,7108,0.004
20250927,20250928,休日,29,新潟県新潟市西区,31,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,31,161452,0.0
20250927,20250928,休日,30,青森県弘前市,30,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,30,168507,0.0
20250927,20250928,休日,31,茨城県久慈郡大子町,29,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,29,15735,0.002
20250927,20250928,休日,32,群馬県太田市,28,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,28,223127,0.0
20250927,20250928,休日,33,茨城県水戸市,28,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,28,270694,0.0
