start_date,end_date,dayflag,ranking,fromaddress,all_population,area_id,area_name,population,residence,residence_population_rate
20250927,20250928,休日,1,山形県米沢市本町,307,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,307,1323,0.232
20250927,20250928,休日,2,山形県米沢市城南,292,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,292,2290,0.128
20250927,20250928,休日,3,山形県米沢市通町,261,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,261,3886,0.067
20250927,20250928,休日,4,山形県米沢市花沢町,200,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,200,1856,0.108
20250927,20250928,休日,5,山形県米沢市丸の内,185,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,185,575,0.32
20250927,20250928,休日,5,山形県米沢市下花沢,185,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,185,2392,0.077
20250927,20250928,休日,6,山形県米沢市徳町,170,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,170,1125,0.15
20250927,20250928,休日,7,山形県米沢市春日,169,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,169,2501,0.068
20250927,20250928,休日,8,山形県米沢市塩井町　塩野,169,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,169,2434,0.069
20250927,20250928,休日,9,山形県米沢市松が岬,155,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,155,1162,0.133
20250927,20250928,休日,10,山形県米沢市大町,155,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,155,1546,0.1
20250927,20250928,休日,11,山形県米沢市窪田町　窪田,154,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,154,2427,0.063
20250927,20250928,休日,12,山形県米沢市門東町,154,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,154,933,0.164
20250927,20250928,休日,13,山形県米沢市中央,123,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,123,2731,0.045
20250927,20250928,休日,14,山形県米沢市成島町,109,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,109,2283,0.048
20250927,20250928,休日,14,山形県米沢市福田町,109,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,109,1163,0.094
20250927,20250928,休日,15,山形県米沢市城西,109,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,109,2163,0.05
20250927,20250928,休日,16,山形県米沢市大字笹野,108,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,108,1631,0.066
20250927,20250928,休日,17,山形県米沢市万世町　片子,93,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,93,1681,0.055
20250927,20250928,休日,17,山形県米沢市御廟,93,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,93,2177,0.043
20250927,20250928,休日,18,山形県米沢市大字花沢,93,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,93,855,0.108
20250927,20250928,休日,19,山形県米沢市駅前,78,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,78,1234,0.063
20250927,20250928,休日,20,山形県米沢市万世町　桑山,78,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,78,2160,0.036
20250927,20250928,休日,20,山形県米沢市林泉寺,78,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,78,1873,0.041
20250927,20250928,休日,21,山形県米沢市太田町,77,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,77,2281,0.034
20250927,20250928,休日,21,山形県米沢市矢来,77,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,77,1283,0.06
20250927,20250928,休日,22,山形県米沢市泉町,77,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,77,693,0.11
20250927,20250928,休日,23,山形県南陽市宮内,75,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,75,6616,0.011
20250927,20250928,休日,23,山形県南陽市椚塚,75,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,75,3038,0.025
20250927,20250928,休日,24,山形県米沢市吹屋敷町,62,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,62,376,0.165
20250927,20250928,休日,25,山形県米沢市金池,62,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,62,1390,0.044
20250927,20250928,休日,25,山形県米沢市杉の目町,62,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,62,407,0.15
20250927,20250928,休日,26,山形県山形市大野目,57,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,57,1704,0.033
20250927,20250928,休日,27,山形県長井市上伊佐沢,55,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,55,530,0.102
20250927,20250928,休日,28,千葉県茂原市法目,52,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,52,1688,0.031
20250927,20250928,休日,29,山形県米沢市笹野本町,46,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,46,336,0.137
20250927,20250928,休日,29,山形県米沢市万世町　牛森,46,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,46,632,0.073
20250927,20250928,休日,29,山形県米沢市東,46,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,46,2285,0.02
20250927,20250928,休日,30,新潟県阿賀野市百津,46,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,46,238,0.19
