start_date,end_date,dayflag,ranking,fromaddress,all_population,area_id,area_name,population,residence,residence_population_rate
20251011,20251011,休日,1,山形県,32703,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),32703,1068027,0.031
20251011,20251011,休日,2,福島県,3643,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),3643,1833153,0.002
20251011,20251011,休日,3,宮城県,1057,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),1057,2301996,0.0
20251011,20251011,休日,4,東京都,395,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),395,14047594,0.0
20251011,20251011,休日,5,新潟県,392,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),392,2201272,0.0
20251011,20251011,休日,6,秋田県,347,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),347,959503,0.0
20251011,20251011,休日,7,青森県,231,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),231,1237985,0.0
20251011,20251011,休日,8,神奈川県,224,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),224,9237337,0.0
20251011,20251011,休日,9,埼玉県,221,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),221,7344765,0.0
20251011,20251011,休日,10,岩手県,168,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),168,1210535,0.0
20251011,20251011,休日,11,茨城県,131,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),131,2867010,0.0
20251011,20251011,休日,12,千葉県,129,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),129,6284481,0.0
20251011,20251011,休日,13,栃木県,109,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),109,1933147,0.0
20251011,20251011,休日,14,群馬県,81,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),81,1939110,0.0
20251011,20251011,休日,15,長野県,73,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),73,2048012,0.0
20251011,20251011,休日,16,福岡県,65,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),65,5135215,0.0
20251011,20251011,休日,17,愛知県,57,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),57,7542415,0.0
20251011,20251011,休日,18,静岡県,54,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),54,3633203,0.0
20251011,20251011,休日,19,北海道,47,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),47,5224615,0.0
20251011,20251011,休日,20,大分県,32,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),32,1123852,0.0
20251011,20251011,休日,21,徳島県,31,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),31,719559,0.0
20251011,20251011,休日,22,広島県,27,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),27,2799702,0.0
20251011,20251011,休日,23,富山県,26,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),26,1034814,0.0
20251011,20251011,休日,24,香川県,26,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),26,950244,0.0
20251011,20251011,休日,25,兵庫県,23,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),23,5465003,0.0
20251011,20251011,休日,26,三重県,22,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),22,1770255,0.0
20251011,20251011,休日,27,大阪府,20,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),20,8837685,0.0
