start_date,end_date,dayflag,ranking,fromaddress,all_population,area_id,area_name,population,residence,residence_population_rate
20250808,20250808,平日,1,山形県米沢市通町,638,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,638,3886,0.164
20250808,20250808,平日,2,山形県米沢市城南,608,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,608,2290,0.265
20250808,20250808,平日,3,山形県米沢市御廟,395,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,395,2177,0.181
20250808,20250808,平日,3,山形県米沢市本町,395,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,395,1323,0.299
20250808,20250808,平日,4,山形県米沢市太田町,335,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,335,2281,0.146
20250808,20250808,平日,4,山形県米沢市成島町,335,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,335,2283,0.146
20250808,20250808,平日,4,山形県米沢市塩井町　塩野,335,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,335,2434,0.137
20250808,20250808,平日,5,山形県東置賜郡川西町大字上小松,327,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,327,3695,0.088
20250808,20250808,平日,6,山形県米沢市花沢町,304,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,304,1856,0.164
20250808,20250808,平日,7,山形県米沢市松が岬,274,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,274,1162,0.235
20250808,20250808,平日,7,山形県米沢市春日,274,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,274,2501,0.109
20250808,20250808,平日,7,山形県米沢市城西,274,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,274,2163,0.126
20250808,20250808,平日,7,山形県米沢市大町,274,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,274,1546,0.177
20250808,20250808,平日,7,山形県米沢市中央,274,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,274,2731,0.1
20250808,20250808,平日,8,山形県米沢市万世町　片子,243,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,243,1681,0.145
