start_date,end_date,dayflag,ranking,fromaddress,all_population,area_id,area_name,population,share_rate
20250208,20250209,休日,1,山形県米沢市,7297,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,7297,1.0
20250208,20250209,休日,2,山形県山形市,532,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,532,1.0
20250208,20250209,休日,3,山形県東置賜郡高畠町,493,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,493,1.0
20250208,20250209,休日,4,山形県東置賜郡川西町,426,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,426,1.0
20250208,20250209,休日,5,山形県南陽市,349,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,349,1.0
20250208,20250209,休日,6,福島県福島市,286,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,286,1.0
20250208,20250209,休日,7,山形県西置賜郡小国町,216,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,216,1.0
20250208,20250209,休日,8,山形県東根市,179,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,179,1.0
20250208,20250209,休日,9,山形県長井市,174,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,174,1.0
20250208,20250209,休日,10,茨城県那珂市,125,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,125,1.0
20250208,20250209,休日,11,山形県寒河江市,106,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,106,1.0
20250208,20250209,休日,12,宮城県仙台市青葉区,106,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,106,1.0
20250208,20250209,休日,13,山形県天童市,100,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,100,1.0
20250208,20250209,休日,14,福島県伊達市,94,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,94,1.0
20250208,20250209,休日,15,山形県西置賜郡飯豊町,82,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,82,1.0
20250208,20250209,休日,16,新潟県上越市,78,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,78,1.0
20250208,20250209,休日,17,埼玉県越谷市,71,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,71,1.0
20250208,20250209,休日,18,山形県村山市,70,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,70,1.0
20250208,20250209,休日,19,福島県郡山市,69,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,69,1.0
20250208,20250209,休日,20,山形県酒田市,65,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,65,1.0
20250208,20250209,休日,21,山形県西村山郡大江町,63,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,63,1.0
20250208,20250209,休日,22,山形県北村山郡大石田町,56,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,56,1.0
20250208,20250209,休日,23,宮城県仙台市宮城野区,55,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,55,1.0
20250208,20250209,休日,24,山形県上山市,52,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,52,1.0
20250208,20250209,休日,25,宮城県仙台市泉区,52,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,52,1.0
20250208,20250209,休日,26,山形県鶴岡市,50,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,50,1.0
20250208,20250209,休日,27,山形県西置賜郡白鷹町,48,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,48,1.0
20250208,20250209,休日,28,山形県東村山郡山辺町,47,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,47,1.0
20250208,20250209,休日,29,宮城県仙台市若林区,47,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,47,1.0
20250208,20250209,休日,30,愛知県みよし市,44,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,44,1.0
20250208,20250209,休日,31,群馬県邑楽郡板倉町,40,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,40,1.0
20250208,20250209,休日,32,岩手県一関市,38,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,38,1.0
20250208,20250209,休日,33,東京都江戸川区,36,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,36,1.0
20250208,20250209,休日,34,山形県新庄市,33,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,33,1.0
20250208,20250209,休日,35,愛知県名古屋市緑区,32,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,32,1.0
20250208,20250209,休日,36,宮城県刈田郡七ヶ宿町,31,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,31,1.0
20250208,20250209,休日,37,栃木県真岡市,31,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,31,1.0
20250208,20250209,休日,38,青森県青森市,29,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,29,1.0
20250208,20250209,休日,39,秋田県北秋田市,29,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,29,1.0
20250208,20250209,休日,40,埼玉県熊谷市,28,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,28,1.0
20250208,20250209,休日,41,茨城県水戸市,27,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,27,1.0
20250208,20250209,休日,42,宮城県仙台市太白区,25,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,25,1.0
20250208,20250209,休日,43,茨城県土浦市,25,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,25,1.0
20250208,20250209,休日,44,宮城県名取市,25,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,25,1.0
20250208,20250209,休日,45,宮城県刈田郡蔵王町,25,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,25,1.0
20250208,20250209,休日,46,埼玉県さいたま市緑区,25,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,25,1.0
20250208,20250209,休日,47,埼玉県草加市,25,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,25,1.0
20250208,20250209,休日,48,千葉県船橋市,24,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,24,1.0
20250208,20250209,休日,49,東京都練馬区,24,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,24,1.0
20250208,20250209,休日,50,東京都調布市,24,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,24,1.0
