start_date,end_date,dayflag,ranking,fromaddress,all_population,area_id,area_name,population,share_rate
20250208,20250209,休日,1,山形県,10486,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,10486,1.0
20250208,20250209,休日,2,福島県,556,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,556,1.0
20250208,20250209,休日,3,宮城県,500,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,500,1.0
20250208,20250209,休日,4,埼玉県,227,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,227,1.0
20250208,20250209,休日,5,東京都,210,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,210,1.0
20250208,20250209,休日,6,茨城県,206,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,206,1.0
20250208,20250209,休日,7,愛知県,119,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,119,1.0
20250208,20250209,休日,8,新潟県,97,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,97,1.0
20250208,20250209,休日,9,神奈川県,84,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,84,1.0
20250208,20250209,休日,10,栃木県,73,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,73,1.0
20250208,20250209,休日,11,秋田県,72,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,72,1.0
20250208,20250209,休日,12,群馬県,72,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,72,1.0
20250208,20250209,休日,13,千葉県,62,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,62,1.0
20250208,20250209,休日,14,岩手県,38,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,38,1.0
20250208,20250209,休日,15,長野県,36,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,36,1.0
20250208,20250209,休日,16,青森県,29,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,29,1.0
20250208,20250209,休日,17,兵庫県,22,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,22,1.0
20250208,20250209,休日,18,山梨県,17,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,17,1.0
20250208,20250209,休日,19,静岡県,14,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,14,1.0
20250208,20250209,休日,20,沖縄県,13,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,13,1.0
20250208,20250209,休日,21,福岡県,13,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,13,1.0
20250208,20250209,休日,22,京都府,13,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,13,1.0
20250208,20250209,休日,23,大阪府,11,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,11,1.0
