start_date,end_date,dayflag,ranking,fromaddress,all_population,area_id,area_name,population,residence,residence_population_rate
20250208,20250209,休日,1,山形県,10486,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,10486,1068027,0.01
20250208,20250209,休日,2,福島県,556,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,556,1833153,0.0
20250208,20250209,休日,3,宮城県,500,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,500,2301996,0.0
20250208,20250209,休日,4,埼玉県,227,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,227,7344765,0.0
20250208,20250209,休日,5,東京都,210,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,210,14047594,0.0
20250208,20250209,休日,6,茨城県,206,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,206,2867010,0.0
20250208,20250209,休日,7,愛知県,119,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,119,7542415,0.0
20250208,20250209,休日,8,新潟県,97,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,97,2201272,0.0
20250208,20250209,休日,9,神奈川県,84,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,84,9237337,0.0
20250208,20250209,休日,10,栃木県,73,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,73,1933147,0.0
20250208,20250209,休日,11,秋田県,72,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,72,959503,0.0
20250208,20250209,休日,12,群馬県,72,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,72,1939110,0.0
20250208,20250209,休日,13,千葉県,62,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,62,6284481,0.0
20250208,20250209,休日,14,岩手県,38,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,38,1210535,0.0
20250208,20250209,休日,15,長野県,36,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,36,2048012,0.0
20250208,20250209,休日,16,青森県,29,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,29,1237985,0.0
20250208,20250209,休日,17,兵庫県,22,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,22,5465003,0.0
20250208,20250209,休日,18,山梨県,17,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,17,809975,0.0
20250208,20250209,休日,19,静岡県,14,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,14,3633203,0.0
20250208,20250209,休日,20,沖縄県,13,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,13,1467480,0.0
20250208,20250209,休日,21,福岡県,13,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,13,5135215,0.0
20250208,20250209,休日,22,京都府,13,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,13,2578087,0.0
20250208,20250209,休日,23,大阪府,11,f37b5eb4-8630-46e2-8735-8aa7cbb9867d,上杉神社,11,8837685,0.0
