# じゃらんエリアダッシュボード／予約状況／カレンダー 日別データ【遊び体験】,,,,,,,,,,,,,
# データソース: https://prod-apnortheast-a.online.tableau.com/#/site/jalanareadashboard/views/ver_2/sheet0,,,,,,,,,,,,,
# 比較年: 1年前（前年同月日との比較）,,,,,,,,,,,,,
# 取扱額の単位は万円、人数=遊び人数、単価=体験人単価（円）,,,,,,,,,,,,,
# 比較年実績/比較年予約 セルは「値 (前年比%)」の形式,,,,,,,,,,,,,
# 「※」は予約実績法人数1件以下または予約件数4件以下のため非公開,,,,,,,,,,,,,
# 空セルは予約・実績ともになかった日,,,,,,,,,,,,,
予約種別,年度,比較年,日付,曜日,取扱額,取扱額_比較年実績,取扱額_比較年予約,人数,人数_比較年実績,人数_比較年予約,単価,単価_比較年実績,単価_比較年予約
遊び体験,令和6年度,1年前,2024-04-01,,,※,※,,※,※,,※,※
遊び体験,令和6年度,1年前,2024-04-02,,,※,※,,※,※,,※,※
遊び体験,令和6年度,1年前,2024-04-03,,,,,,,,,,
遊び体験,令和6年度,1年前,2024-04-04,,,,,,,,,,
遊び体験,令和6年度,1年前,2024-04-05,,,※,※,,※,※,,※,※
遊び体験,令和6年度,1年前,2024-04-06,土,※,※,※,※,※,※,※,※,※
遊び体験,令和6年度,1年前,2024-04-07,日,※,※,※,※,※,※,※,※,※
遊び体験,令和6年度,1年前,2024-04-08,,,,,,,,,,
遊び体験,令和6年度,1年前,2024-04-09,,,,,,,,,,
遊び体験,令和6年度,1年前,2024-04-10,,,※,※,,※,※,,※,※
遊び体験,令和6年度,1年前,2024-04-11,木,※,,,,※,,,※,
遊び体験,令和6年度,1年前,2024-04-12,金,※,※,※,※,※,※,※,※,※
遊び体験,令和6年度,1年前,2024-04-13,土,1万円,※,※,7,※,※,"1,486",※,※
遊び体験,令和6年度,1年前,2024-04-14,日,※,※,※,※,※,※,※,※,※
遊び体験,令和6年度,1年前,2024-04-15,,,,,,,,,,
遊び体験,令和6年度,1年前,2024-04-16,火,※,,,,※,,,※,
遊び体験,令和6年度,1年前,2024-04-17,水,※,※,※,※,※,※,※,※,※
遊び体験,令和6年度,1年前,2024-04-18,,,,,,,,,,
遊び体験,令和6年度,1年前,2024-04-19,金,※,,,※,,,※,,
遊び体験,令和6年度,1年前,2024-04-20,土,※,※,※,※,※,※,※,※,※
遊び体験,令和6年度,1年前,2024-04-21,日,※,※,※,※,※,※,※,※,※
遊び体験,令和6年度,1年前,2024-04-22,月,※,,,※,,,※,,
遊び体験,令和6年度,1年前,2024-04-23,火,※,,,※,,,※,,
遊び体験,令和6年度,1年前,2024-04-24,水,※,,,※,,,※,,
遊び体験,令和6年度,1年前,2024-04-25,,,※,※,,※,※,,※,※
遊び体験,令和6年度,1年前,2024-04-26,金,※,,,※,,,※,,
遊び体験,令和6年度,1年前,2024-04-27,土,※,※,※,※,※,※,※,※,※
遊び体験,令和6年度,1年前,2024-04-28,日,1万円,※,※,9,※,※,"1,378",※,※
遊び体験,令和6年度,1年前,2024-04-29,月,1万円,2万円 (70.8%),2万円 (70.8%),9,9 (100.0%),9 (100.0%),"1,533","2,167 (70.8%)","2,167 (70.8%)"
遊び体験,令和6年度,1年前,2024-04-30,火,※,2万円,2万円,※,11,11,※,"1,745","1,745"
遊び体験,令和6年度,1年前,2024-05-01,水,※,※,※,※,※,※,※,※,※
遊び体験,令和6年度,1年前,2024-05-02,木,※,※,※,※,※,※,※,※,※
遊び体験,令和6年度,1年前,2024-05-03,金,2万円,5万円 (43.4%),5万円 (43.4%),13,26 (50.0%),26 (50.0%),"1,677","1,931 (86.9%)","1,931 (86.9%)"
遊び体験,令和6年度,1年前,2024-05-04,土,2万円,※,※,9,※,※,"1,711",※,※
遊び体験,令和6年度,1年前,2024-05-05,日,※,,,※,,,※,,
遊び体験,令和6年度,1年前,2024-05-06,月,※,,,※,,,※,,
遊び体験,令和6年度,1年前,2024-05-07,火,※,※,※,※,※,※,※,※,※
遊び体験,令和6年度,1年前,2024-05-08,水,※,※,※,※,※,※,※,※,※
遊び体験,令和6年度,1年前,2024-05-09,,,,,,,,,,
遊び体験,令和6年度,1年前,2024-05-10,,,,,,,,,,
遊び体験,令和6年度,1年前,2024-05-11,土,※,※,※,※,※,※,※,※,※
