start_date,end_date,dayflag,ranking,fromaddress,all_population,area_id,area_name,population,residence,residence_population_rate
20250911,20250913,休日,1,山形県米沢市,1896,03b9354d-5d12-4fd0-8eba-080313d62215,平山孫兵衛商店,95,81258,0.001
20250911,20250913,休日,1,山形県米沢市,1896,1648f132-8957-4fcc-b56f-7fa74054ff8b,酒蔵資料館東光の酒蔵,222,81258,0.003
20250911,20250913,休日,1,山形県米沢市,1896,1690fa74-b29e-4696-a623-81c5fc4bf363,Nitorito,127,81258,0.002
20250911,20250913,休日,1,山形県米沢市,1896,20c39cf9-d958-40b6-bb7f-ab0c801cae60,米沢織物直売所おりじん,285,81258,0.003
20250911,20250913,休日,1,山形県米沢市,1896,2fef90f8-7322-4901-8ea2-a82ba9fac4bf,行方織物有限会社,127,81258,0.002
20250911,20250913,休日,1,山形県米沢市,1896,3c83f1cd-f8e0-4442-bd52-24e86de8ca2a,香坂酒造(株),32,81258,0.0
20250911,20250913,休日,1,山形県米沢市,1896,52b700b4-2cff-416e-8f67-35f70af46323,粟野商事JUYOKAN,127,81258,0.002
20250911,20250913,休日,1,山形県米沢市,1896,720ba512-24d3-4273-a176-173afacc6c96,紅花染新田,222,81258,0.003
20250911,20250913,休日,1,山形県米沢市,1896,895e3ec4-d54c-4843-aab5-54abd1cc4741,株式会社パルコモード,127,81258,0.002
20250911,20250913,休日,1,山形県米沢市,1896,9145ad6a-0acc-49e5-a9d6-ebd89071cc48,東光小嶋総本店,127,81258,0.002
20250911,20250913,休日,1,山形県米沢市,1896,9d4dcc83-dfab-4bb7-a75d-f93f296a0910,染織工房わくわく館,32,81258,0.0
20250911,20250913,休日,1,山形県米沢市,1896,a52b699b-5974-409c-80c3-89602d727115,花角味噌醸造,348,81258,0.004
20250911,20250913,休日,1,山形県米沢市,1896,bb343774-fa46-4eeb-853c-0198a8857e40,近賢織物,32,81258,0.0
20250911,20250913,休日,2,山形県南陽市,189,20c39cf9-d958-40b6-bb7f-ab0c801cae60,米沢織物直売所おりじん,63,30399,0.002
20250911,20250913,休日,2,山形県南陽市,189,22ede8ba-43c3-4adb-89fe-374b2dd192dd,株式会社 川島印刷,32,30399,0.001
20250911,20250913,休日,2,山形県南陽市,189,3c83f1cd-f8e0-4442-bd52-24e86de8ca2a,香坂酒造(株),32,30399,0.001
