# じゃらんエリアダッシュボード／予約状況／カレンダー 日別データ【宿泊】,,,,,,,,,,,,,
# データソース: https://prod-apnortheast-a.online.tableau.com/#/site/jalanareadashboard/views/ver_2/sheet0,,,,,,,,,,,,,
# 比較年: 1年前（前年同月日との比較）,,,,,,,,,,,,,
# 取扱額の単位は万円、人数=宿泊人泊数、単価=宿泊人泊単価（円）,,,,,,,,,,,,,
# 比較年実績/比較年予約 セルは「値 (前年比%)」の形式,,,,,,,,,,,,,
# 「※」は予約実績法人数1件以下または予約件数4件以下のため非公開,,,,,,,,,,,,,
予約種別,年度,比較年,日付,曜日,取扱額,取扱額_比較年実績,取扱額_比較年予約,宿泊人泊数,人泊数_比較年実績,人泊数_比較年予約,宿泊人泊単価,単価_比較年実績,単価_比較年予約
宿泊,令和6年度,1年前,2024-04-01,月,76万円,65万円 (117.0%),65万円 (117.0%),82,63 (130.2%),63 (130.2%),"9,321","10,374 (89.9%)","10,374 (89.9%)"
宿泊,令和6年度,1年前,2024-04-02,火,38万円,99万円 (39.0%),99万円 (39.0%),52,103 (50.5%),103 (50.5%),"7,388","9,564 (77.2%)","9,564 (77.2%)"
宿泊,令和6年度,1年前,2024-04-03,水,84万円,76万円 (111.6%),76万円 (111.6%),114,93 (122.6%),93 (122.6%),"7,401","8,128 (91.1%)","8,128 (91.1%)"
宿泊,令和6年度,1年前,2024-04-04,木,58万円,65万円 (88.8%),65万円 (88.8%),77,78 (98.7%),78 (98.7%),"7,510","8,346 (90.0%)","8,346 (90.0%)"
宿泊,令和6年度,1年前,2024-04-05,金,107万円,115万円 (93.4%),115万円 (93.4%),117,139 (84.2%),139 (84.2%),"9,149","8,249 (110.9%)","8,249 (110.9%)"
宿泊,令和6年度,1年前,2024-04-06,土,56万円,108万円 (51.6%),108万円 (51.6%),62,120 (51.7%),120 (51.7%),"8,985","9,004 (99.8%)","9,004 (99.8%)"
宿泊,令和6年度,1年前,2024-04-07,日,199万円,140万円 (142.0%),140万円 (142.0%),170,152 (111.8%),152 (111.8%),"11,730","9,216 (127.3%)","9,216 (127.3%)"
宿泊,令和6年度,1年前,2024-04-08,月,51万円,73万円 (69.5%),73万円 (69.5%),55,82 (67.1%),82 (67.1%),"9,231","8,910 (103.6%)","8,910 (103.6%)"
宿泊,令和6年度,1年前,2024-04-09,火,46万円,85万円 (54.5%),85万円 (54.5%),63,95 (66.3%),95 (66.3%),"7,330","8,922 (82.2%)","8,922 (82.2%)"
宿泊,令和6年度,1年前,2024-04-10,水,72万円,100万円 (71.9%),100万円 (71.9%),78,106 (73.6%),106 (73.6%),"9,216","9,428 (97.8%)","9,428 (97.8%)"
