date,platform,handle,text,likes,reposts,hashtags
2025-09-09,X,@okitama_hall,伝国の杜で催事アピールの場「屋外看板」がずらり並んでいます。秋になると増えます。 米沢市内イベントとの連携も✨ #めーかーずフェスタ米沢 #360よねざわオープンファクトリー #ふらっと狂言会 はPRブースでコラボ🤝 いろんな秋を楽しみましょう〜！,8,0,#めーかーずフェスタ米沢|#360よねざわオープンファクトリー|#ふらっと狂言会|#上杉謙信の祈りと信仰
2025-09-11,X,@pZh8b9VqMvj54gS,今日も皆様あリがとうございました。お世話になりました。お騒がせしました。 gs、新幹線無事乗車です。 皆様もご安全に,7,0,#米沢オープンファクトリー|#やまがた愛の武将隊
2025-09-13,X,@toko_1597,【ご来館ありがとうございました🟢🍶】360°よねざわオープンファクトリー＊酒造資料館東光の酒蔵 一年に一度、地元のものづくり現場が開かれ、 米沢をぐるりと楽しむ三日間 #360よねざわオープンファクトリー 楽しんでいただけたでしょうか？ またのお越しをお待ちしております。,4,0,#360よねざわオープンファクトリー
2025-09-13,X,@pZh8b9VqMvj54gS,360°米沢オープンファクトリーのマークと,3,0,#やまがた愛の武将隊|#米沢オープンファクトリー
2025-09-18,X,@curtainhome,／写真とともに、感謝をこめて＼ 9月11日(木)〜13(日)に開催されました 「第3回 360°よねざわオープンファクトリー」に 本社シルキーリビングも参加いたしました ご来訪いただきました皆様に、心より御礼申し上げます,2,0,#360yonezawa|#360よねざわオープンファクトリー
2025-09-10,X,@pZh8b9VqMvj54gS,#米沢オープンファクトリー #酒は東光 #東光 #小嶋総本店,1,0,#米沢オープンファクトリー|#酒は東光|#東光|#小嶋総本店
2025-09-10,X,@curtainhome,🚩いよいよ明日から ／360°よねざわオープンファクトリー＼ まち全体で楽しむ工場見学の3日間🏭 今年も自社工場が参加、ぜひお気軽にお越しください！,1,0,#360yonezawa|#360よねざわオープンファクトリー
2025-09-12,X,@curtainhome,🚩本日もお待ちしております！ ／360°よねざわオープンファクトリー＼ まち全体で楽しむ工場見学の3日間🏭 今年も自社工場が参加、ぜひお気軽にお越しください！,0,0,#360yonezawa|#360よねざわオープンファクトリー
2025-09-11,X,@curtainhome,🚩いよいよスタート！ ／360°よねざわオープンファクトリー＼ まち全体で楽しむ工場見学の3日間🏭 今年も自社工場が参加、ぜひお気軽にお越しください！,0,0,#360yonezawa|#360よねざわオープンファクトリー
2025-09-09,X,@curtainhome,／360°よねざわオープンファクトリー＼ まち全体で楽しむ工場見学の3日間🏭 今年も自社工場が参加、ぜひお気軽にお越しください！,0,0,#360yonezawa|#360よねざわオープンファクトリー
2025-09-08,X,@curtainhome,／360°よねざわオープンファクトリー＼ まち全体で楽しむ工場見学の3日間🏭 今年も自社工場が参加、ぜひお気軽にお越しください！,0,0,#360yonezawa|#360よねざわオープンファクトリー
