date,platform,handle,text,likes,reposts,hashtags
2025-09-30,X,@YUI_OKUDA_0108,-,45,0,-
2025-09-28,X,@YUI_OKUDA_0108,-,44,0,-
2025-09-27,X,@uesugi_museum,-,31,0,-
2025-09-28,X,@udakapiuda,-,24,0,-
2025-09-28,X,@noriyuki53,-,18,0,-
2025-09-26,X,@yonezawarockfes,-,13,0,-
2025-09-28,X,@noriyuki53,-,7,0,-
2025-09-27,X,@1657alice,-,6,0,-
2025-09-28,X,@1657alice,-,3,0,-
2025-09-27,X,@iiyone2022,-,3,0,-
2025-09-24,X,@iiyone2022,-,2,0,-
2025-09-26,X,@iiyone2022,-,2,0,-
2025-09-28,X,@press_yamashin,-,1,0,-
2025-09-27,X,@iiyone2022,-,1,0,-
