date,platform,handle,text,likes,reposts,hashtags
2025-10-12,X,@kitekero_kun,おもてなし局長のつぎは山形城城主かな！,398,0,#よねざわ戦国花火大会
2025-10-11,X,@hasekura6emon,今年の #よねざわ戦国花火大会 も凄すぎました！！！ 直江兼続様率いるやまがた愛の武将隊の皆様や忍城おもてなし甲冑隊ののぼう様や劇団ほじなしの皆様などとともに、最高の舞台で共闘でき感無量にございます。生憎の雨もまた最高の演出となったかもしれません。関係者の皆様、お客様皆様に感謝！😊🙏,314,0,#よねざわ戦国花火大会
2025-10-11,X,@kitekero_kun,来賓挨拶させでもらったっけ♪ たどりつくまでかなりでんじゃらす！,240,0,#よねざわ戦国花火大会
2025-10-15,X,@NAOE_KANETSUGU7,雨の中ご来場いただいた御客人に感謝を！そしてボランティアの皆様、花火師、運営スタッフの皆様、そして出演陣の方々。 晴れの舞台は叶いませなんだが、雨で弛んだ会場に残された無数の足跡が、沢山の方々の御力添えを残してくれ申した。忝う存じます！,217,0,#よねざわ戦国花火大会|#やまがた愛の武将隊
2025-10-11,X,@ohwa_sby,"2025.10.11 よねざわ戦国花火大会(山形県米沢市) 今年で2回目の開催となった、全国唯一の「戦国」をテーマにした花火ショー。 終始雨が降る厳しい状況でしたが、およそ8,000発の超迫力の花火が、上杉氏ゆかりの地を盛大に彩りました。",160,0,#よねざわ戦国花火大会
2025-10-10,X,@anyo_camp1111,明日、山形県の米沢市で行われる「よねざわ戦国花火大会」に初めて行く予定なのだけど、天気予報だと打ち上げ時間に5mm程度の雨が降るみたいですね☔,127,0,#よねざわ戦国花火大会
2025-10-12,X,@kitekero_kun,きのうの #よねざわ戦国花火大会 慶長出羽合戦をテーマにして ドローン×花火×戦国エンタメで 歴史を再現したんだって！,126,0,#よねざわ戦国花火大会
2025-10-11,X,@oniko10ro,#よねざわ戦国花火大会 に来場せしお客人方々、本日は誠に有難うござった。 雨天開催という貴重な時をともに過ごせたこと嬉しく思う。 風邪ひくなよ。,124,0,#よねざわ戦国花火大会
2025-10-12,X,@gekihoji,#よねざわ戦国花火大会 #劇団ほじなし #やまがた愛の武将隊 様の友軍として 出陣致しました！ ご来場頂きました皆様 大会運営に携わった全ての皆様方とのご縁に感謝！ 来年もこの場所で 花火が打ち上がる夜空を見上げたいと思いました！ 有難うございました！ #伊達武将隊 #忍城おもてなし甲冑隊,120,0,#よねざわ戦国花火大会|#劇団ほじなし|#やまがた愛の武将隊|#伊達武将隊|#忍城おもてなし甲冑隊
2025-10-11,X,@gekihoji,#よねざわ戦国花火大会 着陣！！ #劇団ほじなし,107,0,#よねざわ戦国花火大会|#劇団ほじなし
2025-10-18,X,@ainobusyoutai,藤次郎である。 あの #よねざわ戦国花火大会 からもう1週間。 みな風邪などひいておらぬか？ 米沢はやっと秋めいて来たと思うたら、もう冬支度が始まっておる。 時の移ろいは早い。我らも冬支度をせねばな。,99,0,#よねざわ戦国花火大会|#伊達政宗|#やまがた愛の武将隊|#米沢市|#雪囲い
2025-10-11,X,@ainobusyoutai,#よねざわ肉の陣 トラックステージにて、これよりPRステージに出陣いたし申す。 我々 #やまがた愛の武将隊 が出演させて頂いておる、番組についてのお話じゃ。 皆々是非ともご覧あれ！,93,0,#よねざわ肉の陣|#やまがた愛の武将隊|#よねざわ戦国花火大会|#NCV
2025-10-11,X,@ainobusyoutai,#志村光安 じゃ！ 本日は第2回 #よねざわ戦国花火大会 である！ 生憎の天候ではあるが、我らの威勢で雨なも負けず頑張って参り申す！ 同時開催の #よねざわ肉の陣 で美味いもんを堪能しつつ、武将と花火による最高エンターテイメントをお楽しみくだされ！！！,89,0,#志村光安|#よねざわ戦国花火大会|#よねざわ肉の陣|#やまがた愛の武将隊|#米沢|#イケブン
2025-10-11,X,@anyo_camp1111,米沢 寒そうだなー💦 先週の大曲の秋の章も寒かったけど、さらに５度くらい気温低いかも😅 花火を楽しめるよう対策をしっかりとしないとね🎆,89,0,#よねざわ戦国花火大会
2025-10-11,X,@kitekero_kun,きょうは米沢市営野球場で #よねざわ戦国花火大会 のおでむかえ！ 雨がやむようにおどったけんだけど 逆に大雨ふってきてあせった〜,75,0,#よねざわ戦国花火大会
2025-10-11,X,@YUI_OKUDA_0108,Today I'm at Minagawa Baseball Stadium for the Yonezawa Sengoku Fireworks Festival🎶 The fireworks on a rainy day were fantastic and beautiful✨ I was so moved😊 Thank you so much🎵 I love Yonezawa💕,55,0,#皆川球場|#よねざわ戦国花火大会
2025-10-11,X,@GosukeKiyohara,#よねざわ戦国花火大会 こんなに素晴らしいエンターテインメント……、わし、生まれて初めて……(´；ω；｀)✨ 関わった全てのみなさま！ #やまがた愛の武将隊 のみなさま！ 誠に素晴らしい景色を、時間をありがとうございました‼️,52,0,#よねざわ戦国花火大会|#やまがた愛の武将隊
2025-10-12,X,@YUI_OKUDA_0108,"There were a lot of food stalls at Minagawa Baseball Stadium, the venue for the Yonezawa Sengoku Fireworks Festival last night🎶 I had Yonezawa beef croquettes and frankfurters🎵 So delicious😋 Beautiful fireworks, amazing performances, and delicious food from the stalls💕 I had a great night😊 Thank you so much🎶",51,0,#皆川球場|#よねざわ戦国花火大会
2025-10-11,X,@kousaka_runa,雨にも負けない大迫力の花火とドローン！ 毎年行きたい！！感動した！！,49,0,#よねざわ戦国花火大会
2025-10-11,X,@kaho_Slowtrip,下の物量が多いときはさすがに煙りましたが、上の方は終始クリア😊 雨で余裕なくとりあえずシャッター押してた感じだけど、思ったより撮れてた、と思う😅 一日中雨の中、準備も大変だったと思います。 開催ありがとうございました！ #よねざわ戦国花火大会,48,0,#よねざわ戦国花火大会
2025-10-10,X,@gekihoji,なんと！ 遠方の方も #ロコテレ で視聴できるとのこと！！ 是非とも現地で そして中継でも この素晴らしき花火大会をご覧いただきたい！！,46,0,#ロコテレ|#ncv|#よねざわ戦国花火大会|#やまがた愛の武将隊|#伊達武将隊|#劇団ほじなし
2025-10-20,X,@XpPxesFLlXQTSjA,2025/10/11 #よねざわ戦国花火大会 にて 皆さんのスマホのライトで と盛り上げてくださる #忍城おもてなし甲冑隊 ほぼシルエットの成田長親様、この時客席にいらっしゃいました👏👏👏激しき雨の中ありがとうございました！,38,0,#よねざわ戦国花火大会|#忍城おもてなし甲冑隊|#どうぞ大将
2025-10-11,X,@sengokuhanabi,【戦国花火大会】戦国チャンバラ合戦⚔️ スポンジ刀を降って誰もが侍になるアクティビティ💪 武将隊の皆さんと赤軍・青軍に分かれて、チャンバラ合戦！,36,0,#よねざわ戦国花火大会|#よねざわ肉の陣|#戦国チャンバラ合戦
2025-10-11,X,@GosukeKiyohara,おはようございまする！ 昨日、道の駅にてのぼりを見てから、ずっっっっとウキウキが止まりませぬ✨,35,0,#よねざわ戦国花火大会
2025-10-10,X,@ncv_yonezawa,📣生中継📣 よねざわ肉の陣・よねざわ戦国花火大会 いよいよ明日11日（土）に開催される #よねざわ肉の陣 と #よねざわ戦国花火大会 の模様を TV・FM・ロコテレで同時生放送！ ★午前11時〜 よねざわ肉の陣🍖 ★午後6時〜 よねざわ戦国花火🎆 花火・演舞・音楽が融合した 戦国エンターテインメントを 今年もNCVでお楽しみください☺️,30,0,#よねざわ肉の陣|#よねざわ戦国花火大会|#ncv|#9ch|#fmncv
2025-10-11,X,@Noriko_AR726,「よねざわ戦国花火大会」 花火の手前では、演舞も 行われています,29,0,#よねざわ戦国花火大会
2025-10-10,X,@ikusainfo,いよいよ明日！#よねざわ戦国花火大会 にて #チャンバラ合戦 開催⚔️💥 ゲストに #やまがた愛の武将隊 #伊達武将隊 参戦決定🎉 参加は無料！！ 夜は花火が打ち上がる戦国フェスに集まれ〜！！,27,0,#よねざわ戦国花火大会|#チャンバラ合戦|#やまがた愛の武将隊|#伊達武将隊|#戦国イベント|#山形イベント|#米沢イベント|#武将隊
2025-10-11,X,@XpPxesFLlXQTSjA,ダン！とお腹に響く音！目の前でほぼ真上に巨大な花火の連続！🎆😍🎆劇団ほじなしの皆様まさかの甲冑御姿！忍城おもてなし甲冑隊のぼう様と、芭蕉さんが客席に！そして伊達武将隊とやまがた愛の武将隊の皆様の陰影今年もかっこ良く😭音響も最高！雨の中ありがとうございました🥹,27,0,#よねざわ戦国花火大会
2025-10-10,X,@sengokuhanabi,#よねざわ戦国花火大会 まで、あと１日！ ▼詳細はこちら▼ 【#よねざわ戦国花火大会】 まるでタイムスリップ！？ 想像を超える戦国エンターテインメント！ 全国で唯一「戦国」をテーマにした花火大会✨ これまでの花火大会とは違う💪 「ドローン」×「花火」×「戦国エンタメ」 ここにしかないエンターテインメントショーを味わってみませんか？ 地域が誇る歴史「慶長出羽合戦」をテーマに、1時間ノンストップの五感体験！,26,0,#よねざわ戦国花火大会|#戦国花火大会|#戦国|#花火大会|#秋花火|#日本の絶景|#日本の花火|#ドローン|#花火と音楽|#天気|#山形県|#米沢市|#米沢市営野球場|#イベント|#秋イベント
2025-10-09,X,@sengokuhanabi,#よねざわ戦国花火大会 まで、あと２日！ ▼詳細はこちら▼ 【#よねざわ戦国花火大会】 まるでタイムスリップ！？ 想像を超える戦国エンターテインメント！ 全国で唯一「戦国」をテーマにした花火大会✨ これまでの花火大会とは違う💪 「ドローン」×「花火」×「戦国エンタメ」 ここにしかないエンターテインメントショーを味わってみませんか？ 地域が誇る歴史「慶長出羽合戦」をテーマに、1時間ノンストップの五感体験！,25,0,#よねざわ戦国花火大会|#戦国花火大会|#戦国|#花火大会|#秋花火|#日本の絶景|#日本の花火|#ドローン|#花火と音楽|#天気|#山形県|#米沢市|#米沢市営野球場|#イベント|#秋イベント
