date,platform,handle,text,likes,reposts,hashtags
2025-05-03,X,@jajagi7jajagi,武田軍,482,0,#上杉まつり
2025-05-02,X,@uesugijoshien,おはようございます❗ 今夜は決戦前夜🌛❗ #米沢上杉まつり の #武禘式 が行われます⚔️ 上杉軍が戦に前夜に行ったとされる出陣の儀です✨ 今日の上杉城史苑は、夜7時まで時間を延長して営業します❗ ぜひお立ち寄りください😊🎶,209,0,#米沢上杉まつり|#武禘式
2025-04-30,X,@kitekero_kun,きょうは米沢市さ行ってきて 米沢上杉まつりの特設ステージで やまがた愛の武将隊のみんなと いっしょにおしごとさせてもらったよ！ さくらんぼ体操おどる季節だずね〜,208,0,#米沢上杉まつり|#山形県
2025-04-30,X,@kitekero_kun,息ぴったりってこういうこと〜？,198,0,#米沢上杉まつり|#山形県
2025-05-03,X,@jajagi7jajagi,はじめて上杉まつりに行って合戦の様子を見てきました。 鉄砲の音でビビったゆずぽんずは終始ブルブル震えてました。たくさんの人たちに可愛がられたけど、それどころではなかったみたい。とにかく帰りたくて帰りたくて😭😭😭😭😭 天気も良く賑わってました。,152,0,#上杉まつり
2025-05-03,X,@ainobusyoutai,#米沢上杉まつり も本日が最終日！ 我らもこれより神輿渡御へ出陣にございまする。 米沢市中の沿道、そして #川中島合戦 の会場・松川河川敷で皆々様にお会いできる事を楽しみにしておりますぞ〜,151,0,#米沢上杉まつり|#川中島合戦|#千坂景親|#やまがた愛の武将隊|#米沢市
2025-05-03,X,@uesugijoshien,いよいよ #米沢上杉まつり も本日最終日❗だけど4連休の初日❗ 今日はおまつりのクライマックス、#川中島の戦い が行われます⚔️ #上杉城史苑 はお陰様で朝から大変賑わっております🎶 駐車場🅿️も満席状態でご迷惑をおかけしておりますが、お気をつけてご来店ください🙏🙏🙏,128,0,#米沢上杉まつり|#川中島の戦い|#上杉城史苑
2025-05-02,X,@ainobusyoutai,水原にござる！ #武禘式 を前に #やまがた愛の武将隊 の演武をご披露仕った！ そして武禘式がいよいよ始まりましたぞ！ お館様様、そして上杉家の名将の方々のご武運をお祈りいたしまする！ いざ、出陣じゃ！,123,0,#武禘式|#やまがた愛の武将隊|#米沢上杉まつり
2025-04-29,X,@ainobusyoutai,水原に御座る！ 本日より開幕となった #米沢上杉まつり 民謡流しパレードと開幕祭ステージへの出演を終え申した！ やっぱり祭りは良いな！ 5/3まで盛り沢山に御座るぞ！ 4/30と5/1は #武将隊と上杉太鼓魂の響宴 じゃ！ 武士三昧の米沢の戦国絵巻をお楽しみ下され！,117,0,#米沢上杉まつり|#武将隊と上杉太鼓魂の響宴|#やまがた愛の武将隊|#米沢
2025-05-03,X,@nobu_shutsujin,本日は米沢上杉まつりに出陣！ 10:00～17:00の間松川河川敷でお待ちしております。（地図上 飲食物グッズ販売所のところです。） お気をつけてお越しください。,116,0,#信長出陣|#上杉まつり
2025-04-29,X,@ainobusyoutai,直江兼続であるが風が強う御座る！ 一瞬の大雨を吹き飛ばすが如く、後に大晴天となり申した！ 米沢上杉まつり、いよいよの開幕じゃ！ 次なる出番は伝国の杜ピロティにて15:49〜の演武出陣なり！,105,0,#やまがた愛の武将隊|#上杉まつり|#民謡流しパレード|#米沢市|#奉行が撮った
2025-04-30,X,@uesugi_museum,【おすすめ商品🍀】 戦国史上最大の死闘といわれた #上杉謙信 と #武田信玄 の激突、川中島合戦。一騎打ちの場面が大迫力！な、当館所蔵の川中島合戦図屏風のグッズが好評販売中です。 開催中の #米沢上杉まつり では、いよいよ今週末5/3（土祝）に両雄激突です🔥,104,0,#上杉謙信|#武田信玄|#米沢上杉まつり
2025-05-02,X,@ainobusyoutai,水原に御座る。 #武禘式 は如何に御座ったかのう。 雨の中であったが、お館様様率いる上杉軍が見事に出陣された事と存ずる。 いよいよ明日は #米沢上杉まつり 最終日！川中島合戦じゃ！ 我らは神輿渡御に参加いたす！ 最後まで楽しもうぞ！,91,0,#武禘式|#米沢上杉まつり|#やまがた愛の武将隊
2025-05-04,X,@hanako11921960,皆さんに届け、信長の野望出陣😍,90,0,#信長出陣|#信長の野望出陣|#米沢上杉まつり|#やまがた愛の武将隊
