date,platform,handle,text,likes,reposts,hashtags
2026-02-11,X,@uesugijoshien,今週末は、#上杉雪灯篭まつり が開催されます✨ #上杉神社⛩️の参道も、雪灯篭製作のための準備が進んでいます☃️ #上杉城史苑 は14日と15日の2日間、時間を延長して営業しますので、ぜひご来場ください😊✨,322,0,#上杉雪灯篭まつり|#上杉神社|#上杉城史苑
2026-02-13,X,@uesugijoshien,おはようございます😊🎶 今日の米沢は朝からいい天気☀️🙌☀️ 明日からの #上杉雪灯篭まつり にむけて、会場の準備が進んでいます☃️ 今日の夕方〜夜はプレ点灯が行われますので、土日にお越しになるない方はぜひご来場ください😊🎶,193,0,#上杉雪灯篭まつり
2026-02-13,X,@uesugijoshien,#上杉雪灯篭まつり、一部の雪灯篭に火が灯り、プレ点灯が始まっています☃️☃️☃️ おまつりは明日からスタート🎊🙌🎊🙌🎊🙌🎊 明日から気温が急上昇してよい天気に😊☀️ ぜひご来場くださいね😉👍,190,0,#上杉雪灯篭まつり
2026-02-14,X,@uesugijoshien,#上杉雪灯篭まつり、天候に恵まれ絶賛開催中❗気温も高く、傾いた雪灯篭も出てきたようなので、要注意⛑️⚠️☝️ 雪灯篭に火が灯るのは17時半から。 辺りは暗くなるので、お気をつけてご来場ください😊🎶,142,0,#上杉雪灯篭まつり
2026-02-13,X,@tuydosukoi,【米沢場所】オフショット📸 明日から開催の #上杉雪灯篭まつり に合わせて 一から雪燈篭製作に挑みました✊ 観光協会のみなさんのご協力もあり、無事完成✨ ありがとうございました！ 皆さん！会場でぜひ！ どすコイ雪燈篭を探してみてください😻,139,0,#上杉雪灯篭まつり|#どすコイ|#どすコイやまがた|#米沢
2026-02-13,X,@yamagata_kaigi,明日はバレンタインでもあるけど 米沢では #上杉雪灯篭まつり が始まります。 昨日撮影のあと上杉神社の前通ったら 学生さんたちが準備してました☺️ｷﾜｷﾜ 以前の雪灯篭まつりの画像と昨日高畠で 食べた #米沢らーめん 置いておきますね。 今日頑張れば週末！おはようございます☀,132,0,#上杉雪灯篭まつり|#米沢らーめん|#企業公式が朝の挨拶を言い合う|#企業公式冬のフォロー祭り|#志づ美さん
2026-02-14,X,@uesugijoshien,#上杉雪灯篭まつり のテント村に出店中❗ 調理長自慢の #牛すじ煮込み や #米沢牛ミニ肉まん の他、定番の #米沢牛 のコロッケ・メンチカツ・牛たんカレーパンを販売しております✨ ぜひお立ち寄りください😊🎶,127,0,#上杉雪灯篭まつり|#牛すじ煮込み|#米沢牛ミニ肉まん|#米沢牛
2026-02-16,X,@uesugijoshien,#上杉雪灯篭まつり では、当店の『米沢牛入りコロッケ🧆』を沁山の皆様にご利用いただき、有難うございました🙇✨ 反響に驚いていますが、何があったのか、親切な方教えて🙏 お取り寄せもできますのでぜひ😊⇩,99,0,#上杉雪灯篭まつり|#温泉むすむ|#小野川温泉|#村上奈津実|#大西亜玖璃|#青木陽菜
2026-02-14,X,@ainobusyoutai,#やまがた愛の武将隊 火焔にございます。 本日は #雪灯篭まつり ステージで、りぃ姫様と共演📻 みんなで会場めぐりも楽しかった〜♪ そして明日はなんと！雪灯篭まつりに #きてけろくん が来てくれる！ 一方われらは再び山形駅へ！🚄💨 イベント続々、冬の山形をお楽しみくださいませ！,90,0,#やまがた愛の武将隊|#雪灯篭まつり|#きてけろくん
2026-02-15,X,@hoshoteiusagin,上杉雪灯篭まつりで通りすがりの親切な方にお写真を撮っていただきました。素敵な思い出をありがとうございました！🥰,51,0,#上杉雪灯篭まつり|#米沢
2026-02-14,X,@touhoku_maruhan,🏮#上杉雪灯篭まつり🏮 #マルハン米沢店 のスタッフが雪灯籠製作団体として参加✨ 一つひとつ心を込めて作った灯りが、冬の夜をやさしく彩ります😊 地域の皆様と素敵な冬の思い出を共有出来たことに感謝です！,42,0,#上杉雪灯篭まつり|#マルハン米沢店
2026-02-18,X,@Tohoku_Network,#米沢電力センター は、東北電力グループ企業とともに #上杉雪灯篭まつり に向けて雪灯篭を製作しました☃️ 完成した雪灯篭は、#上杉神社 の本殿前に飾られ、2月14日、15日の祭り当日、会場をやわらかなあかりで包み込みました✨,39,0,#米沢電力センター|#上杉雪灯篭まつり|#上杉神社|#山形
2026-02-16,X,@Shirube_RP2025,🕯【出演情報】🕯 本日、山形県米沢市で開催された「上杉雪灯篭まつり」に出演いたしました！ 初の山形県でのステージでしたが、会場の雰囲気がとても暖かく、メンバー一同楽しんで演奏することが出来ました！ 追記：かっぴー代打ありがとう！！,33,0,#アカペラ|#上杉雪灯篭まつり
2026-02-14,X,@taka_666_,ライトアップされた夜の上杉雪灯篭まつり,32,0,#写真好きな人と繋がりたい|#上杉雪灯篭まつり
2026-02-15,X,@yuelong1021,#上杉雪灯篭まつり ステージ終わりました！ ありがとうございました！！ 駆けつけてくださった近隣の皆さま、常連のお客さま、いつも応援ありがとうございます！！ #紅桜剣舞会,31,0,#上杉雪灯篭まつり|#紅桜剣舞会
2026-02-16,X,@bxzCa6q2pNSAhgB,#上杉雪灯篭まつり 昨夜は去年に引き続き 米沢市へワープして 「上杉雪灯篭まつり」へ,26,0,#上杉雪灯篭まつり
2026-02-16,X,@uesugijoshien,上杉城史苑ネットショップ【ポイント3倍デー】開催中🎊 昨日まで開催の #上杉雪灯篭まつり 自力本願米沢ブースの『#雑草コーラ』、TUY「#どすコイやまがた」の反響で大人気でした❗ 雑草コーラはいろんなアレンジレシピがあるので、興味のある方はぜひチャレンジしてね😊,24,0,#上杉雪灯篭まつり|#雑草コーラ|#どすコイやまがた
2026-02-13,X,@SumireAyatchi,支配に〜んから完成のLINE！来客中に写真で知る。すぐそばなのに笑,21,0,#雪灯篭|#上杉雪灯篭まつり|#米沢
2026-02-16,X,@yamawa1923,2026年2月16日（月）、みなさまこんにちは！ 只今の東京京橋はくもり。午前中はバタバタしてXの更新が遅れてしまいました😭😭 先週末の #上杉雪灯篭まつり ですが、当社製作の灯篭にもばっちり明かりが灟っていました！ 一度は現地で見たいと思いつつ、今週も1週間よろしくお願いいたします〜,21,0,#上杉雪灯篭まつり
2026-02-14,X,@taka_666_,村上さんと青木さんは小野川温泉のかまくらで龍華食堂の豆もやしラーメンを食べ立石さんと大西さんは牛肉どまん中を今日食べたそうな。どっちもうんまいうんまい😋,20,0,#上杉雪灯篭まつり|#温泉むすめ
2026-02-16,X,@beerlover_13,#上杉雪灯篭まつり 翌日の #上杉神社 へ行き、なせばなる守をいただいてきました。上杉謙信公とのツーショットににっこりのポムちゃん。,19,0,#上杉雪灯篭まつり|#上杉神社|#moipon
2026-02-13,X,@yamagata_kaigi,日本夜景遺産 #上杉雪灯篭まつり はこんな お祭りです🏮（＾ｕ＾）⛩️ #山形会議,17,0,#上杉雪灯篭まつり|#山形会議
2026-02-15,X,@kindai02181,今年の雪灯篭祭りは寒くなかった！ ほぼ2日間満喫！！,16,0,#上杉雪灯篭まつり|#かまくらフォトスポット
2026-02-15,X,@K1Setoguchi,上杉雪灯篭まつりのステージ、無事終わりました⛄ お集まりいただいた皆様、ありがとうございました 美味しそうなものがいっぱいで目移りしちゃった(ﾟДﾟ=/ﾟДﾟ) 日が暮れて雪灯篭に火が灯り綺麗でしたよ✨ 最後は米沢牛の牛丼を頂きました幸 江戸に帰りまーす,16,0,#上杉雪灯篭まつり|#紅桜剣舞会
2026-02-15,X,@beerlover_13,トークイベント後、 #上杉雪灯篭まつり へ。大西さんが今回のイベントにご出演されていなければ、きっと訪れなかったであろうお祭り。そして、一人旅なんてこんなにしていなかっただろうなとも思う。大西さんのおかげや…😭 ありがとう大西さん…😭 ありがとう #温泉むすめ …😭,16,0,#上杉雪灯篭まつり|#温泉むすめ|#温むす小野川2026
